connector	count
ERBB4_GRB7	1
AKT1_DVL1	1
HARS_HGS	1
AP2M1_UBC	2
AKR1C1_PPARG	1
GAPDH_MAPT	1
EXOC7_RHOQ	1
AKT1_DVL2	1
KCNJ11_MTNR1B	1
NFKB2_HDAC3	1
IL12B_KLRK1	1
PDZK1_BSPRY	1
NFKB2_HDAC4	1
NFKB2_HDAC5	1
LAMC2_UBC	1
NFKB2_HDAC6	1
NR5A2_NR0B2	9
DNAH6_DNAH1	1
ERBB3_PTPN22	1
PLXDC1_ANTXR1	2
PPP2R5A_PPP2R3B	2
IL10_NFKBIL1	1
DNAH6_DNAH9	2
HLA-G_P2RX7	1
DNAH6_DNAH8	1
DNAH6_DNAH3	1
NEK2_NEK3	1
DNM2_MYOF	1
NOS1_PAX3	1
RNASEH2A_RNASEH2B	2
RNASEH2A_RNASEH2C	3
FLT3_LYN	1
VPS4B_ALG2	1
POT1_TINF2	6
PTGS2_COPS3	1
PTGS2_COPS5	1
HOXD12_PRRX1	1
NFKB1_MAP3K2	1
GH1_PRLR	2
IL6_SLC2A2	1
IL6_SLC2A1	1
CTRB1_CTRB2	2
SRC_YWHAB	1
GMFB_MAPK1	1
NFKBIA_DNAJA3	1
GMFB_MAPK3	1
SRC_YWHAE	1
CDK1_CDK5R1	2
SRC_YWHAG	1
ITGB3_NOV	1
SRC_YWHAH	1
EVPL_PPL	6
PPP2R5A_PPP2R5D	5
PPP2R5A_PPP2R5E	5
SRC_YWHAZ	1
SHH_ABCG2	1
SEMG2_AKAP3	1
PPP2R5A_PPP2R5B	5
SEMG2_AKAP4	1
PPP2R5A_PPP2R5C	7
MNDA_RB1	1
GHITM_TMBIM1	1
ABCF1_EIF2A	1
GHITM_TMBIM4	1
AP2A1_FURIN	1
TNFRSF11B_TP53	1
ANXA5_CRP	1
HTR2A_SLC6A2	1
NFKB1_MAP3K7	7
HTR2A_SLC6A4	82
HTR2A_SLC6A3	10
MAPK8_MAD2L2	1
GPSM2_PARD3	1
PIGT_PGAP1	1
CISD1_CISD2	2
CISD1_CISD3	2
CCR8_CMKLR1	1
SSB_PTBP2	1
APOE_SREBF1	1
USP9Y_TBL1Y	1
F12_AKAP10	1
FOXL2_UBE2I	1
IGKV2D-40_IGKV1-37	1
CSNK2A1_EP300	1
IGKV2D-40_IGKV1-39	1
VENTXP4_VENTXP2	1
TAF10_SUPT3H	2
VENTXP4_VENTXP3	1
NDUFB8_NDUFS8	1
ADRBK1_RPLP2	2
ADRBK1_RPLP1	1
MED1_RXRG	1
C1QA_PTX3	1
TAB1_ZMYND11	1
NCOR2_PRAM1	1
MED1_RXRA	5
VENTXP4_VENTXP5	1
IDO1_PTGER4	1
PXN_LPAR2	1
NKAIN4_NKAIN2	1
IL1B_TAB1	1
YWHAB_NCOR2	1
NKAIN4_NKAIN3	1
PRKCA_AKT3	1
DCN_TNF	1
PANK3_PANK2	3
TOP2A_PPP1R1B	1
FOXO1_CRB1	1
MIR372_MIR373	1
IL1B_TAB2	1
RAMP3_GPR182	1
PRKCB_STXBP3	1
ACTA1_TPM1	3
ACTA1_TPM3	4
PRKCB_STXBP1	4
NF1_ADAP2	1
FYN_GRIN2B	5
NCOA3_SRA1	1
LTA_ADNP	1
TAB2_TICAM1	1
UBE2L3_WWP2	1
HFE_MLH1	1
MSH3_WRN	1
PPP2CB_AXIN1	1
CASP7_PDIA2	1
TUBA3C_DYNLL1	1
P2RX7_CAMKK2	2
SRD5A2_AURKA	1
TUBA1B_NUP85	1
AKT1_GIP	2
HYAL1_SEMA3B	1
LEP_RBP4	1
WNT2B_BPIFA1	1
IFNG_NEU1	1
IFNG_NEU3	1
CD44_MUC1	2
