Approved Symbol	Entrez Gene ID
A12M1~withdrawn	
A12M2~withdrawn	
A12M3~withdrawn	
A12M4~withdrawn	
A1BG	1
A1S9T~withdrawn	
A2M	2
A2MP1	3
A2MR~withdrawn	
A2MRAP~withdrawn	
AA~withdrawn	
AABT~withdrawn	
AAC1~withdrawn	
AAC2~withdrawn	
NATP	11
SERPINA3	12
AADAC	13
AAMP	14
AANAT	15
AARS	16
AATK	9625
AAVS1	17
ABAT	18
ABC1~withdrawn	
ABC2~withdrawn	
ABC3~withdrawn	
ABC50~withdrawn	
ABC7~withdrawn	
ABCA1	19
ABCA10	10349
ABCA11P	79963
ABCA2	20
ABCA3	21
ABCA4	24
ABCA5	23461
ABCA6	23460
ABCA7	10347
ABCA8	10351
ABCA9	10350
ABCB1	5243
ABCB10	23456
ABCB11	8647
TAP1	6890
TAP2	6891
ABCB4	5244
ABCB5	340273
ABCB6	10058
ABCB7	22
ABCB8	11194
ABCB9	23457
ABCC1	4363
ABCC10	89845
ABCC2	1244
ABCC3	8714
ABCC4	10257
ABCC5	10057
ABCC6	368
ABCC7~withdrawn	
ABCC8	6833
ABCC9	10060
ABCD1	215
ABCD1P1	23785
ABCD1P2	26983
ABCD1P3	26982
ABCD1P4	26957
ABCD2	225
ABCD3	5825
ABCD4	5826
ABCE1	6059
ABCF1	23
ABCF2	10061
ABCF3	55324
ABCG1	9619
ABCG2	9429
ABCR~withdrawn	
ABL1	25
ABL2	27
ABLIM1	3983
ABO	28
AOC1	26
ABR	29
ACAA1	30
ACAA2	10449
ACACA	31
ACACB	32
ACAD~withdrawn	
ACAD8	27034
ACADL	33
ACADM	34
ACADS	35
ACADSB	36
ACADVL	37
ACAT1	38
ACAT2	39
SLC33A1	9197
ACBP~withdrawn	
ACC~withdrawn	
ACCN~withdrawn	
ASIC2	40
ASIC1	41
ASIC3	9311
CNNM1	26507
CNNM2	54805
CNNM3	26505
CNNM4	26504
ACH~withdrawn	
ACHAP~withdrawn	
ACHE	43
ACHM1~withdrawn	
ACHM2~withdrawn	
ACHM3~withdrawn	
ACHRD~withdrawn	
ACHRG~withdrawn	
ACLS	
ACLY	47
ACMG~withdrawn	
ACO1	48
ACO2	50
ACOX1	51
ACOX2	8309
ACOX3	8310
ACP1	52
ACP2	53
ACP5	54
ACPP	55
ACR	49
ACRV1	56
ACS3~withdrawn	
ACTA1	58
ACTA2	59
ACTA3~withdrawn	
ACTB	60
POTEH	23784
ACTBP1	643309
ACTBP2	62
ACTBP3	63
ACTBP4	64
ACTBP5~withdrawn	
ACTBP6	66
ACTBP7	67
ACTBP8	68
ACTBP9	69
ACTC1	70
ACTG1	71
ACTG2	72
ACTG1P1	73
ACTG1P2	74
ACTG1P3	75
ACTG1P4	648740
ACTBP12	100462767
ACTG1P6	78
ACTG1P7	79
ACTG1P8	80
ACTG1P9	82
ACTG1P10	83
ACTL2~withdrawn	
ACTL3~withdrawn	
ACTL4~withdrawn	
ACTL5~withdrawn	
ACTL6B	51412
ACTL7A	10881
ACTL7B	10880
ACTN1	87
ACTN2	88
ACTN3	89
ACTN4	81
ACTR1A	10121
ACTR1B	10120
ACTR2	10097
ACTR3	10096
ACVR1	90
ACVR1B	91
ACVR2A	92
ACVR2B	93
ACVRL1	94
ACVRLK2~withdrawn	
ACY1	95
ACY1L~withdrawn	
ACYP1	97
ACYP2	98
AD1~withdrawn	
AD2~withdrawn	
AD3~withdrawn	
AD4~withdrawn	
AD5	
ADA	100
ADAM1A	8759
ADAM10	102
ADAM11	4185
ADAM12	8038
ADAM15	8751
ADAM17	6868
ADAM18	8749
ADAM19	8728
ADAM2	2515
ADAM20	8748
ADAM21	8747
ADAM22	53616
ADAM23	8745
ADAM24P	646479
ADAM28	10863
ADAM29	11086
ADAM30	11085
ADAM3A	1587
ADAM3B	1596
ADAM5	255926
ADAM6	8755
ADAM7	8756
ADAM8	101
ADAM9	8754
ADAMTS1	9510
ADAMTS2	9509
ADAMTS3	9508
ADAMTS4	9507
ADAMTS5	11096
ADAMTS6	11174
ADAMTS7	11173
ADAMTS8	11095
ADAR	103
ADARB1	104
ADARB2	105
ADAT1	23536
ADCP1	106
ADCP2~withdrawn	
ADCR~withdrawn	
ADCY1	107
ADCY2	108
ADCY3	109
ADCY4	196883
ADCY5	111
ADCY6	112
ADCY7	113
ADCY8	114
ADCY9	115
ADCYAP1	116
ADCYAP1R1	117
ADD1	118
ADD2	119
ADD3	120
ADDL~withdrawn	
ADFN	122
PLIN2	123
ADH1A	124
ADH1B	125
ADH1C	126
ADH4	127
ADH5	128
ADH5P1~withdrawn	
ADH6	130
ADH7	131
ADK	132
ADL~withdrawn	
ADM	133
ADMLX~withdrawn	
ADMLY~withdrawn	
ADORA1	134
ADORA2A	135
ADORA2B	136
ADORA2BP1	137
ADORA2L1~withdrawn	
ADORA2L2~withdrawn	
ADORA3	140
ADPRH	141
PARP1	142
PARP4	143
PARP2	10038
PARP3	10039
PARP4P3	
PARP1P1	144
PARP1P2	145
ADRA1A	148
ADRA1B	147
ADRA1C~withdrawn	
ADRA1D	146
ADRA2A	150
ADRA2B	151
ADRA2C	152
ADRA2L1~withdrawn	
ADRB1	153
ADRB2	154
ADRB2RL1~withdrawn	
ADRB3	155
ADRBK1	156
ADRBK2	157
ADSL	158
ADSS	159
ADT~withdrawn	
ADTAA~withdrawn	
ADTAB~withdrawn	
ADTB1~withdrawn	
AP1B1P1	23782
AP1B1P2	23781
ADTB2~withdrawn	
ADTG~withdrawn	
AE1~withdrawn	
AE2~withdrawn	
AEBP1	165
CRISP1	167
AEMK~withdrawn	
AEPLC~withdrawn	
AES	166
AEZ~withdrawn	
AF8T	
AFA	
AFCP~withdrawn	
AFD1	
AFG3~withdrawn	
AFG3L1P	172
AFG3L2	10939
AFM	173
AFP	174
AGA	175
ACAN	176
AGER	177
AGL	178
AGMX1~withdrawn	
AGMX2	
AGPAT1	10554
AGPAT2	10555
AGPAT3	56894
AGPS	8540
AGR2	10551
AGRN	375790
AGRP	181
AGS~withdrawn	
AGS1~withdrawn	
AGT	183
AGTBP~withdrawn	
AGTIL~withdrawn	
AGTR1	185
AGTR1B~withdrawn	
