name,disease,mnemonic,diseaseName
"DHTKD1",http://purl.uniprot.org/diseases/3673,"AMOXAD","A metabolic disorder characterized by increased levels of 2-oxoadipate and 2-hydroxyadipate in the urine, and elevated 2-aminoadipate in the plasma. Patients can have mild to severe intellectual disability, muscular hypotonia, developmental delay, ataxia, and epilepsy. Most cases are asymptomatic."
"HSD17B10",http://purl.uniprot.org/diseases/1,"MHBD deficiency","A disorder that leads to neurological abnormalities, including psychomotor retardation and, in virtually all patients, loss of mental and motor skills."
"HADH",http://purl.uniprot.org/diseases/2,"HADH deficiency","A metabolic disorder with various clinical presentations including hypoglycemia, hepatoencephalopathy, myopathy or cardiomyopathy, and in some cases sudden death."
"HMGCL",http://purl.uniprot.org/diseases/3,"HMGCLD","An autosomal recessive disease affecting ketogenesis and L-leucine catabolism. The disease usually appears in the first year of life after a fasting period and its clinical acute symptoms include vomiting, seizures, metabolic acidosis, hypoketotic hypoglycemia and lethargy. These symptoms sometimes progress to coma, with fatal outcome in some cases."
"AUH",http://purl.uniprot.org/diseases/4,"MGA1","An inborn error of leucine metabolism. It leads to an autosomal recessive syndrome with variable clinical phenotype, ranging from delayed speech development to severe psychomotor retardation, coma, failure to thrive, metabolic acidosis and dystonia. MGA1 can be distinguished from other forms of MGA by the pattern of metabolite excretion: 3-methylglutaconic acid levels are higher than those detected in other forms, whereas methylglutaric acid levels are usually only slightly elevated and there is a high level of 3-hydroxyisovaleric acid excretion (not present in other MGA forms)."
"OPA3",http://purl.uniprot.org/diseases/6,"MGA3","A metabolic disorder that causes a neuro-ophthalmologic syndrome consisting of early-onset bilateral optic atrophy, spasticity, extrapyramidal dysfunction and cognitive deficit. Urinary excretion of 3-methylglutaconic acid and 3-methylglutaric acid is increased. MGA3 can be distinguished from MGA1 by the absence of increase of 3-hydroxyisovaleric acid levels."
"DNAJC19",http://purl.uniprot.org/diseases/7,"MGA5","An autosomal recessive disorder characterized by early-onset dilated cardiomyopathy, growth failure, cerebellar ataxia causing significant motor delays, testicular dysgenesis, growth failure and significant increases in urine organic acids, particularly 3-methylglutaconic acid and 3-methylglutaric acid."
"SERAC1",http://purl.uniprot.org/diseases/3495,"MEGDEL","An autosomal recessive disorder characterized by childhood onset of delayed psychomotor development or psychomotor regression, sensorineural deafness, spasticity or dystonia, and increased excretion of 3-methylglutaconic acid. Brain imaging shows cerebral and cerebellar atrophy as well as lesions in the basal ganglia reminiscent of Leigh syndrome. Laboratory studies show increased serum lactate and alanine, mitochondrial oxidative phosphorylation defects, abnormal mitochondria, abnormal phosphatidylglycerol and cardiolipin profiles in fibroblasts, and abnormal accumulation of unesterified cholesterol within cells."
"ACAT1",http://purl.uniprot.org/diseases/9,"3KTD","An inborn error of isoleucine catabolism characterized by intermittent ketoacidotic attacks associated with unconsciousness. Some patients die during an attack or are mentally retarded. Urinary excretion of 2-methyl-3-hydroxybutyric acid, 2-methylacetoacetic acid, triglylglycine, butanone is increased. It seems likely that the severity of this disease correlates better with the environmental or acquired factors than with the ACAT1 genotype."
"CUL7",http://purl.uniprot.org/diseases/11,"3M1","An autosomal recessive disorder characterized by severe pre- and postnatal growth retardation, facial dysmorphism, large head circumference, and normal intelligence and endocrine function. Skeletal changes include long slender tubular bones and tall vertebral bodies."
"OBSL1",http://purl.uniprot.org/diseases/2472,"3M2","An autosomal recessive disorder characterized by severe pre- and postnatal growth retardation, facial dysmorphism, large head circumference, and normal intelligence and endocrine function. Skeletal changes include long slender tubular bones and tall vertebral bodies."
"CCDC8",http://purl.uniprot.org/diseases/3220,"3M3","A disorder characterized by poor postnatal growth and distinctive facial features, including triangular facies, frontal bossing, fleshy tipped nose, and fleshy lips. Other features may include skeletal anomalies and prominent heels."
"MASP1",http://purl.uniprot.org/diseases/3129,"3MC1","A disorder characterized by facial dysmorphism that includes hypertelorism, blepharophimosis, blepharoptosis and highly arched eyebrows, cleft lip and/or palate, craniosynostosis, learning disability and genital, limb and vesicorenal anomalies. The term 3MC syndrome includes Carnevale, Mingarelli, Malpuech, and Michels syndromes."
"COLEC11",http://purl.uniprot.org/diseases/3130,"3MC2","A disorder characterized by facial dysmorphism that includes hypertelorism, blepharophimosis, blepharoptosis and highly arched eyebrows, cleft lip and/or palate, craniosynostosis, learning disability and genital, limb and vesicorenal anomalies. The term 3MC syndrome includes Carnevale, Mingarelli, Malpuech, and Michels syndromes."
"OPLAH",http://purl.uniprot.org/diseases/3412,"OPLAHD","A disorder characterized by calcium oxalate/carbonate urolithiasis, and excessive urinary 5-oxo-L-proline. Affected individuals have recurrent episodes of vomiting, diarrhea, and abdominal pain."
"SRY",http://purl.uniprot.org/diseases/2395,"SRXX1","A condition in which male gonads develop in a genetic female (female to male sex reversal)."
"SOX9",http://purl.uniprot.org/diseases/3053,"SRXX2","A condition in which male gonads develop in a genetic female (female to male sex reversal)."
"SOX3",http://purl.uniprot.org/diseases/3008,"SRXX3","A condition in which male gonads develop in a genetic female (female to male sex reversal)."
"WNT4",http://purl.uniprot.org/diseases/1613,"SERKAL","A disease characterized by the association of female-to-male sex reversal with dysgenesis of kidneys, adrenals, and lungs."
"SRY",http://purl.uniprot.org/diseases/1682,"SRXY1","A condition characterized by male-to-female sex reversal in the presence of a normal 46,XY karyotype. Patients manifest rapid and early degeneration of their gonads, which are present in the adult as 'streak gonads', consisting mainly of fibrous tissue and variable amounts of ovarian stroma. As a result these patients do not develop secondary sexual characteristics at puberty. The external genitalia in these subjects are completely female, and Muellerian structures are normal."
"NR0B1",http://purl.uniprot.org/diseases/2751,"SRXY2","A condition characterized by male-to-female sex reversal in the presence of a normal 46,XY karyotype."
"NR5A1",http://purl.uniprot.org/diseases/2465,"SRXY3","A condition characterized by male-to-female sex reversal in the presence of a normal 46,XY karyotype."
"DMRT1",http://purl.uniprot.org/diseases/3328,"SRXY4","A condition characterized by male-to-female sex reversal in the presence of a normal 46,XY karyotype. Patients display complete or partial gonadal dysgenesis and a chromosome 9p deletion."
"CBX2",http://purl.uniprot.org/diseases/2807,"SRXY5","A disorder of sex development. Affected individuals have a 46,XY karyotype but present as phenotypically normal females."
"MAP3K1",http://purl.uniprot.org/diseases/3052,"SRXY6","A disorder of sex development. Affected individuals have a 46,XY karyotype but present as phenotypically normal females."
"AKR1C2",http://purl.uniprot.org/diseases/3279,"SRXY8","A disorder of sex development. Affected individuals have a 46,XY karyotype but present as phenotypically normal females."
"AKR1C4",http://purl.uniprot.org/diseases/3279,"SRXY8","A disorder of sex development. Affected individuals have a 46,XY karyotype but present as phenotypically normal females."
"CACNA1F",http://purl.uniprot.org/diseases/1163,"AIED","A retinal disease characterized by a combination of fundus hypopigmentation, decreased visual acuity due to foveal hypoplasia, nystagmus, astigmatism, protan color vision defect, myopia, and defective dark adaptation. Except for progression of axial myopia, the disease can be considered to be a stationary condition. Electroretinography reveals abnormalities in both photopic and scotopic functions."
"FGD1",http://purl.uniprot.org/diseases/12,"AAS","A rare multisystemic disorder characterized by disproportionately short stature, and by facial, skeletal and urogenital anomalies. Some patients manifest mental retardation, attention deficit disorder and hyperactivity."
"EDNRB",http://purl.uniprot.org/diseases/13,"ABCDS","An autosomal recessive syndrome characterized by albinism, black lock at temporal occipital region, bilateral deafness, aganglionosis of the large intestine and total absence of neurocytes and nerve fibers in the small intestine."
"MTTP",http://purl.uniprot.org/diseases/14,"ABL","An autosomal recessive disorder of lipoprotein metabolism. Affected individuals produce virtually no circulating apolipoprotein B-containing lipoproteins (chylomicrons, VLDL, LDL, lipoprotein(A)). Malabsorption of the antioxidant vitamin E occurs, leading to spinocerebellar and retinal degeneration."
"SECISBP2",http://purl.uniprot.org/diseases/15,"ATHYHM","A disorder associated with a reduction in type II iodothyronine deiodinase activity."
"CAT",http://purl.uniprot.org/diseases/16,"ACATLAS","A metabolic disorder characterized by a total or near total loss of catalase activity in red cells. It is often associated with ulcerating oral lesions."
"CP",http://purl.uniprot.org/diseases/17,"ACERULOP","An autosomal recessive disorder of iron metabolism characterized by iron accumulation in the brain as well as visceral organs. Clinical features consist of the triad of retinal degeneration, diabetes mellitus and neurological disturbances."
"ACACA",http://purl.uniprot.org/diseases/1164,"ACACAD","An inborn error of de novo fatty acid synthesis associated with severe brain damage, persistent myopathy and poor growth."
"AAAS",http://purl.uniprot.org/diseases/18,"AAAS","An autosomal recessive disorder characterized by adreno-corticotropic hormone (ACTH)-resistant adrenal failure, achalasia of the esophageal cardia and alacrima. The syndrome is associated with variable and progressive neurological impairment involving the central, peripheral, and autonomic nervous system. Other features such as palmoplantar hyperkeratosis, short stature, facial dysmorphy and osteoporosis may also be present."
"LMBR1",http://purl.uniprot.org/diseases/1165,"ACHP","Very rare condition characterized by bilateral congenital amputations of the hands and feet. The specific malformative phenotype consists of a complete amputation of the distal epiphysis of the humerus, amputation of the tibial diaphysis and aplasia of the radius, ulna, fibula and of all the bones of the hands and feet."
"TRIP11",http://purl.uniprot.org/diseases/2719,"ACG1A","A form of achondrogenesis type 1, a lethal form of chondrodysplasia characterized by deficient ossification in the lumbar vertebrae and absent ossification in the sacral, pubic and ischial bones and clinically by stillbirth or early death. In addition to severe micromelia, there is a disproportionately large cranium due to marked edema of soft tissues."
"SLC26A2",http://purl.uniprot.org/diseases/19,"ACG1B","A form of achondrogenesis type 1, a lethal form of chondrodysplasia characterized by deficient ossification in the lumbar vertebrae and absent ossification in the sacral, pubic and ischial bones and clinically by stillbirth or early death. In addition to severe micromelia, there is a disproportionately large cranium due to marked edema of soft tissues."
"COL2A1",http://purl.uniprot.org/diseases/20,"ACG2","A disease characterized by the absence of ossification in the vertebral column, sacrum and pubic bones."
"FGFR3",http://purl.uniprot.org/diseases/21,"ACH","A frequent form of short-limb dwarfism. It is characterized by a long, narrow trunk, short extremities, particularly in the proximal (rhizomelic) segments, a large head with frontal bossing, hypoplasia of the midface and a trident configuration of the hands."
"CNGA3",http://purl.uniprot.org/diseases/22,"ACHM2","An ocular stationary disorder due to the absence of functioning cone photoreceptors in the retina. It is characterized by total colorblindness, low visual acuity, photophobia and nystagmus."
"CNGB3",http://purl.uniprot.org/diseases/23,"ACHM3","An ocular stationary disorder due to the absence of functioning cone photoreceptors in the retina. It is characterized by total colorblindness, low visual acuity, photophobia and nystagmus. Achromatopsia type 3 patients manifest severe myopia."
"GNAT2",http://purl.uniprot.org/diseases/1166,"ACHM4","An ocular stationary disorder due to the absence of functioning cone photoreceptors in the retina. It is characterized by total colorblindness, low visual acuity, photophobia and nystagmus."
"ACP2",http://purl.uniprot.org/diseases/24,"ACPHD","A disorder characterized by intermittent vomiting, hypotonia, lethargy, opisthotonos, terminal bleeding and death in early infancy. Lysosomal acid phosphatase is deficient in cultured fibroblasts and multiple tissues."
"KIF7",http://purl.uniprot.org/diseases/25,"ACLS","A syndrome characterized by hypogenesis or agenesis of the corpus callosum. Clinical features include postaxial polydactyly, hallux duplication, macrocephaly, craniofacial abnormalities, severe developmental delay and mental retardation."
"IHH",http://purl.uniprot.org/diseases/26,"ACFD","A disorder characterized by short stature of variable severity with postnatal onset. The most constant radiographic abnormalities are observed in the tubular bones of the hands and in the proximal part of the femur. Cone-shaped epiphyses or a similar epiphyseal configuration with premature epimetaphyseal fusion result in shortening of the skeletal components involved. Cone-shaped epiphyses are also present to a variable extent at the shoulders, knees and ankles."
"RAB23",http://purl.uniprot.org/diseases/1325,"CRPT1","A rare autosomal recessive disorder characterized by acrocephaly with variable synostosis of the sagittal, lambdoid, and coronal sutures; peculiar facies; brachydactyly of the hands with syndactyly; preaxial polydactyly and syndactyly of the feet; congenital heart defects; growth retardation; mental retardation; hypogenitalism; and obesity. In addition, cerebral malformations, oral and dental abnormalities, coxa valga, genu valgum, hydronephrosis, precocious puberty, and hearing loss may be observed."
"MEGF8",http://purl.uniprot.org/diseases/3635,"CRPT2","An autosomal recessive multiple congenital malformation disorder characterized by multisuture craniosynostosis and polysyndactyly of the hands and feet, in association with abnormal left-right patterning and other features, most commonly obesity, umbilical hernia, cryptorchidism, and congenital heart disease."
"SLC39A4",http://purl.uniprot.org/diseases/27,"AEZ","A rare autosomal recessive disease caused by the inability to absorb sufficient zinc. The clinical features are growth retardation, immune-system dysfunction, alopecia, severe dermatitis, diarrhea and occasionally mental disorders."
"TP63",http://purl.uniprot.org/diseases/28,"ADULT syndrome","A form of ectodermal dysplasia. Ectodermal dysplasia defines a heterogeneous group of disorders due to abnormal development of two or more ectodermal structures. ADULT syndrome involves ectrodactyly, syndactyly, finger- and toenail dysplasia, hypoplastic breasts and nipples, intensive freckling, lacrimal duct atresia, frontal alopecia, primary hypodontia and loss of permanent teeth. ADULT syndrome differs significantly from EEC3 syndrome by the absence of facial clefting."
"PRKAR1A",http://purl.uniprot.org/diseases/3459,"ACRDYS1","A form of skeletal dysplasia characterized by short stature, severe brachydactyly, facial dysostosis, and nasal hypoplasia. Affected individuals often have advanced bone age and obesity. Laboratory studies show resistance to multiple hormones, including parathyroid, thyrotropin, calcitonin, growth hormone-releasing hormone, and gonadotropin. However, not all patients show endocrine abnormalities."
"PDE4D",http://purl.uniprot.org/diseases/3460,"ACRDYS2","A pleiotropic disorder characterized by skeletal, endocrine, and neurological abnormalities. Skeletal features include brachycephaly, midface hypoplasia with a small upturned nose, brachydactyly, and lumbar spinal stenosis. Endocrine abnormalities include hypothyroidism and hypogonadism in males and irregular menses in females. Developmental disability is a common finding but is variable in severity and can be associated with significant behavioral problems."
"SF3B4",http://purl.uniprot.org/diseases/3474,"AFD1","A form of acrofacial dysostosis, a group of disorders which are characterized by malformation of the craniofacial skeleton and the limbs. The major facial features of AFD1 include downslanted palpebral fissures, midface retrusion, and micrognathia, the latter of which often requires the placement of a tracheostomy in early childhood. Limb defects typically involve the anterior (radial) elements of the upper limbs and manifest as small or absent thumbs, triphalangeal thumbs, radial hyoplasia or aplasia, and radioulnar synostosis. Phocomelia of the upper limbs and, occasionally, lower-limb defects have also been reported."
"EVC",http://purl.uniprot.org/diseases/29,"WAD","An autosomal dominant condition characterized by dysplastic nails, postaxial polydactyly, dental anomalies, short limbs, short stature and normal intelligence. The phenotype is milder than Ellis-van Creveld syndrome."
"EVC2",http://purl.uniprot.org/diseases/29,"WAD","An autosomal dominant condition characterized by dysplastic nails, postaxial polydactyly, dental anomalies, short limbs, short stature and normal intelligence. The phenotype is milder than Ellis-van Creveld syndrome."
"ATP2A2",http://purl.uniprot.org/diseases/30,"AKV","A localized disorder of keratinization, which is inherited as an autosomal dominant trait. Its onset is early in life with multiple flat-topped, flesh-colored papules on the hands and feet, punctate keratoses on the palms and soles, with varying degrees of nail involvement. The histopathology shows a distinctive pattern of epidermal features with hyperkeratosis, hypergranulosis and acanthosis together with papillomatosis. These changes are frequently associated with circumscribed elevations of the epidermis that are said to resemble church spires. There are no features of dyskeratosis or acantholysis, the typical findings in lesions of Darier disease."
"GDF5",http://purl.uniprot.org/diseases/31,"AMDG","An autosomal recessive acromesomelic chondrodysplasia. Acromesomelic chondrodysplasias are rare hereditary skeletal disorders characterized by short stature, very short limbs and hand/foot malformations. The severity of limb abnormalities increases from proximal to distal with profoundly affected hands and feet showing brachydactyly and/or rudimentary fingers (knob-like fingers). AMDG is characterized by normal axial skeletons and missing or fused skeletal elements within the hands and feet."
"GDF5",http://purl.uniprot.org/diseases/32,"AMDH","An autosomal recessive form of dwarfism. Patients have limb abnormalities, with the middle and distal segments being most affected and the lower limbs more affected than the upper. AMDH is characterized by normal axial skeletons and missing or fused skeletal elements within the hands and feet."
"BMPR1B",http://purl.uniprot.org/diseases/33,"AMDGA","A form of chondrodysplasia. Acromesomelic chondrodysplasias are rare hereditary skeletal disorders characterized by short stature, very short limbs and hand/foot malformations. The severity of limb abnormalities increases from proximal to distal with profoundly affected hands and feet showing brachydactyly and/or rudimentary fingers (knob-like fingers)."
"NPR2",http://purl.uniprot.org/diseases/34,"AMDM","An autosomal recessive acromesomelic chondrodysplasia. Acromesomelic chondrodysplasias are rare hereditary skeletal disorders characterized by short stature, very short limbs and hand/foot malformations. The severity of limb abnormalities increases from proximal to distal with profoundly affected hands and feet showing brachydactyly and/or rudimentary fingers (knob-like fingers). AMDM is characterized by axial skeletal involvement with wedging of vertebral bodies. In AMDM all skeletal elements are present but show abnormal rates of linear growth."
"FBN1",http://purl.uniprot.org/diseases/3225,"ACMICD","An autosomal dominant disorder characterized by severe short stature, short hands and feet, joint limitations, and skin thickening. Radiologic features include delayed bone age, cone-shaped epiphyses, shortened long tubular bones, and ovoid vertebral bodies. Affected individuals have distinct facial features, including round face, well-defined eyebrows, long eyelashes, bulbous nose with anteverted nostrils, long and prominent philtrum, and thick lips with a small mouth. Other characteristic features include hoarse voice and pseudomuscular build, and there are distinct skeletal features as well, including an internal notch of the femoral head, internal notch of the second metacarpal, and external notch of the fifth metacarpal."
